date,actual,forecast
2027-01-02,1,0.4490029873614717
2027-01-03,1,0.0910308288303256
2027-01-04,1,0.6175762130897202
2027-01-05,2,0.6578898892803046
2027-01-06,0,0.11337280174554726
2027-01-07,0,0.14057121433398823
2027-01-08,0,0.03225244111236564
2027-01-09,1,0.461520179469047
2027-01-10,1,0.14924373923420342
2027-01-11,1,0.25453526304588725
2027-01-12,2,0.5074256876848376
2027-01-13,0,0.2844145188418747
2027-01-14,0,0.31441077153051755
2027-01-15,1,0.03235069561503279
2027-01-16,2,0.41180941736253385
2027-01-17,1,-0.039765601426008934
2027-01-18,0,0.5077814153043547
2027-01-19,0,0.5430803329728047
2027-01-20,1,0.44011600711995474
2027-01-21,0,0.15389238424765123
2027-01-22,1,-0.0005305705850913167
2027-01-23,1,0.4450510821000081
2027-01-24,1,0.30801862555007076
2027-01-25,1,0.1478270840164692
2027-01-26,0,0.29460315938453263
2027-01-27,0,0.326997727394406
2027-01-28,2,0.04062238261384882
2027-01-29,0,0.04828005706184352
2027-01-30,2,0.17659142806095085
2027-01-31,0,0.6003431689638813
2027-02-01,1,0.6099725636053265
2027-02-02,1,0.08383256080131235
2027-02-03,0,0.18205797352976139
2027-02-04,0,0.3980517415170617
2027-02-05,2,0.051184863916706624
2027-02-06,0,0.20373362687940033
2027-02-07,0,0.09083814392321765
2027-02-08,2,0.11833193096696859
2027-02-09,1,0.3768442880816991
2027-02-10,1,0.21874549176121721
2027-02-11,0,0.6249636505017276
2027-02-12,1,0.6185496089615682
2027-02-13,0,0.15320895618492514
2027-02-14,1,-0.13933564177789992
2027-02-15,0,0.2857810015077224
2027-02-16,2,0.20120056411721565
2027-02-17,1,0.08358004143703962
2027-02-18,0,0.28472886052416163
2027-02-19,0,0.46244785931577725
2027-02-20,1,0.1667837576533477
2027-02-21,0,0.32944226949411615
2027-02-22,0,-0.1114514259187609
2027-02-23,1,0.3620908674897624
2027-02-24,1,0.518618453133648
2027-02-25,0,0.3133999576661963
2027-02-26,0,0.44461555948122156
2027-02-27,0,0.5111178315995533
2027-02-28,0,0.20109784221859062
2027-03-01,1,0.03626116522209427
2027-03-02,1,0.4948283103997939
2027-03-03,0,0.6771337589104852
2027-03-04,0,0.5260749707312088
2027-03-05,1,0.2589754564571519
2027-03-06,0,0.11109158352661136
2027-03-07,0,0.10514502647576723
2027-03-08,0,0.5253599159645091
2027-03-09,1,0.41547615842019914
2027-03-10,0,0.16538859330083533
2027-03-11,0,0.09430699848580448
2027-03-12,0,0.3781675200336462
2027-03-13,1,0.12137897925774221
2027-03-14,2,0.14555740849954363
2027-03-15,0,0.13496965195402938
2027-03-16,0,0.5946649847108123
2027-03-17,0,0.28807304376437703
2027-03-18,0,0.4532120193813476
2027-03-19,2,0.1835668068458074
2027-03-20,0,0.289064678492392
2027-03-21,0,0.5175141350712147
2027-03-22,1,0.08788877451751326
2027-03-23,1,0.3370179033481643
2027-03-24,1,0.20282670018062426
2027-03-25,1,0.3710247716170357
2027-03-26,0,0.7865918418686968
2027-03-27,0,0.267080470190462
2027-03-28,0,-0.08542555914588501
2027-03-29,0,0.1180335116631347
2027-03-30,1,0.08476659836933986
2027-03-31,1,0.11440500510027685
2027-04-01,0,0.3431853627190238
2027-04-02,0,0.10395989368128833
2027-04-03,1,0.0975305873950264
2027-04-04,0,0.14675714068184637
2027-04-05,0,0.03344794273894164
2027-04-06,1,0.0774847390349031
2027-04-07,0,0.11954776429607183
2027-04-08,0,0.12885852271656134
2027-04-09,0,0.09355916710975043
2027-04-10,1,0.09643545413156884
2027-04-11,0,0.14796662490693474
2027-04-12,0,-0.002868260407662082
2027-04-13,0,0.10853682704555873
2027-04-14,0,0.1023930881755245
2027-04-15,0,0.14697822412345335
2027-04-16,0,0.09010351966598024
2027-04-17,0,0.09363642750045176
2027-04-18,1,0.09728956525601773
2027-04-19,0,0.10602123838257904
2027-04-20,0,0.07130909169102484
2027-04-21,1,0.09200478743551943
2027-04-22,0,0.09401326212627908
2027-04-23,1,0.1274766715110599
2027-04-24,0,0.18562739883035795
2027-04-25,0,0.09690453725927123
2027-04-26,0,0.09662515868491328
2027-04-27,0,0.08396728658485653
2027-04-28,0,0.20338991466762085
2027-04-29,0,0.09570920007123324
2027-04-30,0,0.09578879052970879
2027-05-01,0,0.0964599635434743
2027-05-02,1,0.09628016455538635
2027-05-03,1,0.11228926630893754
2027-05-04,0,0.11766699256245838
2027-05-05,1,0.1300786165801251
2027-05-06,1,0.096732588230311
2027-05-07,0,0.09632962955322283
2027-05-08,1,0.08872795930392141
2027-05-09,2,0.23698682859566944
2027-05-10,0,-0.006724416025766455
2027-05-11,0,0.09958794638764185
2027-05-12,0,0.07147152858180372
2027-05-13,1,0.3890789773534422
2027-05-14,0,0.13643358100302472
2027-05-15,0,0.13314224770781152
2027-05-16,0,0.10310403505698928
2027-05-17,0,0.08497402164734297
2027-05-18,1,0.11597254737754004
2027-05-19,0,0.10957761509844388
2027-05-20,0,0.10600955186566008
2027-05-21,0,0.09191226017858894
2027-05-22,0,0.08294416636321755
2027-05-23,0,0.11393562756530562
2027-05-24,0,0.10878880553743964
2027-05-25,0,0.09456038216636231
2027-05-26,1,0.09366561270724366
2027-05-27,0,0.1148741483207506
2027-05-28,1,0.08470563746031767
2027-05-29,0,0.10505691203370371
2027-05-30,1,0.08978508672907454
2027-05-31,1,0.05834702169232897
2027-06-01,0,0.03654823816007041
2027-06-02,0,0.17358007990675406
2027-06-03,0,0.08136797777845828
2027-06-04,0,0.17736394240351355
2027-06-05,1,0.0792816298730713
2027-06-06,0,0.09920400335350665
2027-06-07,0,0.10395570807316501
2027-06-08,0,0.09065239745546771
2027-06-09,0,0.07889597150878441
2027-06-10,1,0.10250016071284634
2027-06-11,0,0.11327714446122594
2027-06-12,0,0.10587502229816864
2027-06-13,0,0.09289923337245787
2027-06-14,0,0.07597256913002792
2027-06-15,0,0.09820669827497258
2027-06-16,1,0.12474699712526294
2027-06-17,0,0.08589929331549934
2027-06-18,0,0.08590708225398569
2027-06-19,0,0.09256680395297129
2027-06-20,0,0.07132748646686504
2027-06-21,1,0.09320812368894849
2027-06-22,1,0.11811756453567168
2027-06-23,0,0.08989707248819834
2027-06-24,2,0.14767858843448523
2027-06-25,0,0.024528576261647395
2027-06-26,0,0.2816410692653223
2027-06-27,0,-0.042591075413357715
2027-06-28,0,0.3820132326288071
2027-06-29,0,0.2621899884408537
2027-06-30,0,0.12381969290867723
2027-07-01,0,0.1312643913799546
2027-07-02,1,0.09801419794788507
2027-07-03,0,0.12548158094196699
2027-07-04,1,0.09230147299370517
2027-07-05,1,0.10804866282597103
2027-07-06,1,0.0966764259382929
2027-07-07,0,0.025411807914754503
2027-07-08,1,0.10243957251698477
2027-07-09,1,0.042131642538641934
2027-07-10,0,-0.08184945309552838
2027-07-11,0,0.06172695510276027
2027-07-12,1,0.09963858895357697
2027-07-13,0,0.07463266867287704
2027-07-14,1,0.04799953520935296
2027-07-15,0,0.17018254190589038
2027-07-16,0,0.049076091671187705
2027-07-17,0,0.05903069770777358
2027-07-18,1,0.12416832792857124
2027-07-19,1,0.06986002032767402
2027-07-20,0,0.07550121852540659
2027-07-21,1,0.1774127994003109
2027-07-22,0,0.06365785109397748
2027-07-23,1,0.09141518657796177
2027-07-24,0,0.05498504370064877
2027-07-25,1,0.1670388096522486
2027-07-26,0,0.040106610285408295
2027-07-27,0,0.038575864917815006
2027-07-28,0,0.07334697304827831
2027-07-29,0,0.11934859019682009
2027-07-30,0,0.15062186595059518
2027-07-31,2,0.13453004959175707
2027-08-01,0,0.09510203162142417
2027-08-02,0,0.08895174752106833
