date,time,dealer_id,part_type,failure,dayofweek,quarter,month,dayofyear,zero_failure,mean,std,median,median_round,min,max,sum,diff,diff_ratio,diff_1d,diff_mean,zero_cumulative,mean_zero_cumulative,max_zero_cumulative,min_zero_cumulative,med_zero_cumulative,zero,no_zero,demand_days,no_demand_days
2024-09-02,1,D01,type3,3,0,3,9,246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
2024-09-03,2,D01,type3,0,1,3,9,247,1,3.0,0.0,3.0,3.0,3.0,3.0,3.0,,,-3.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,1.0
2024-09-04,3,D01,type3,0,2,3,9,248,1,1.5,2.1213203435596424,1.5,2.0,0.0,3.0,3.0,,,0.0,-1.5,1,0.0,0.0,0.0,0.0,1,0,1.0,1.0
2024-09-05,4,D01,type3,1,3,3,9,249,0,1.0,1.7320508075688772,0.0,0.0,0.0,3.0,3.0,,,1.0,-1.0,2,0.3333333333333333,1.0,0.0,0.0,0,1,2.0,1.0
2024-09-06,5,D01,type3,0,4,3,9,250,3,1.0,1.4142135623730951,0.5,0.0,0.0,3.0,4.0,,,-1.0,-0.5,0,0.75,2.0,0.0,0.5,1,0,2.0,2.0
2024-09-07,6,D01,type3,1,5,3,9,251,0,0.8,1.3038404810405297,0.0,0.0,0.0,3.0,4.0,,,1.0,-0.6,1,0.6,2.0,0.0,0.0,0,1,3.0,2.0
2024-09-08,7,D01,type3,1,6,3,9,252,0,0.8333333333333334,1.1690451944500122,0.5,0.0,0.0,3.0,5.0,,,0.0,-0.3333333333333333,0,0.6666666666666666,2.0,0.0,0.5,0,1,3.0,3.0
2024-09-09,8,D01,type3,1,0,3,9,253,0,0.8571428571428571,1.0690449676496976,1.0,1.0,0.0,3.0,6.0,,,0.0,-0.2857142857142857,0,0.5714285714285714,2.0,0.0,0.0,0,1,3.0,4.0
2024-09-10,9,D01,type3,0,1,3,9,254,2,0.875,0.9910312089651149,1.0,1.0,0.0,3.0,7.0,,,-1.0,-0.25,0,0.5,2.0,0.0,0.0,1,0,3.0,5.0
2024-09-11,10,D01,type3,0,2,3,9,255,2,0.7777777777777778,0.97182531580755,1.0,1.0,0.0,3.0,7.0,,,0.0,-0.3333333333333333,1,0.4444444444444444,2.0,0.0,0.0,1,0,4.0,5.0
2024-09-12,11,D01,type3,1,3,3,9,256,0,0.7,0.9486832980505138,0.5,0.0,0.0,3.0,7.0,,,1.0,-0.3,2,0.5,2.0,0.0,0.0,0,1,5.0,5.0
2024-09-13,12,D01,type3,1,4,3,9,257,0,0.7272727272727273,0.9045340337332909,1.0,1.0,0.0,3.0,8.0,,,0.0,-0.18181818181818182,0,0.6363636363636364,2.0,0.0,0.0,0,1,5.0,6.0
2024-09-14,13,D01,type3,2,5,3,9,258,0,0.75,0.8660254037844386,1.0,1.0,0.0,3.0,9.0,,,1.0,-0.16666666666666666,0,0.5833333333333334,2.0,0.0,0.0,0,1,5.0,7.0
2024-09-15,14,D01,type3,1,6,3,9,259,0,0.8461538461538461,0.8987170342729172,1.0,1.0,0.0,3.0,11.0,,,-1.0,-0.07692307692307693,0,0.5384615384615384,2.0,0.0,0.0,0,1,5.0,8.0
2024-09-16,15,D01,type3,0,0,3,9,260,1,0.8571428571428571,0.8644378215075665,1.0,1.0,0.0,3.0,12.0,,,-1.0,-0.14285714285714285,0,0.5,2.0,0.0,0.0,1,0,5.0,9.0
2024-09-17,16,D01,type3,0,1,3,9,261,3,0.6428571428571429,0.6333236937766509,1.0,1.0,0.0,2.0,9.0,-3.0,-0.9999996666667778,0.0,-0.21428571428571427,1,0.5,2.0,0.0,0.0,1,0,6.0,8.0
2024-09-18,17,D01,type3,3,2,3,9,262,0,0.6428571428571429,0.6333236937766509,1.0,1.0,0.0,2.0,9.0,0.0,0.0,3.0,0.0,2,0.5714285714285714,2.0,0.0,0.0,0,1,6.0,8.0
2024-09-19,18,D01,type3,0,3,3,9,263,5,0.8571428571428571,0.8644378215075665,1.0,1.0,0.0,3.0,12.0,3.0,3000000.0,-3.0,0.21428571428571427,0,0.6428571428571429,2.0,0.0,0.0,1,0,5.0,9.0
2024-09-20,19,D01,type3,1,4,3,9,264,0,0.7857142857142857,0.892582375303981,1.0,1.0,0.0,3.0,11.0,-1.0,-0.9999990000010001,1.0,-0.07142857142857142,1,0.5,2.0,0.0,0.0,0,1,6.0,8.0
2024-09-21,20,D01,type3,1,5,3,9,265,0,0.8571428571428571,0.8644378215075665,1.0,1.0,0.0,3.0,12.0,1.0,1000000.0,0.0,0.07142857142857142,0,0.5714285714285714,2.0,0.0,0.0,0,1,5.0,9.0
2024-09-22,21,D01,type3,1,6,3,9,266,0,0.8571428571428571,0.8644378215075665,1.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0,0.5,2.0,0.0,0.0,0,1,5.0,9.0
2024-09-23,22,D01,type3,0,0,3,9,267,2,0.8571428571428571,0.8644378215075665,1.0,1.0,0.0,3.0,12.0,0.0,0.0,-1.0,0.0,0,0.5,2.0,0.0,0.0,1,0,5.0,9.0
2024-09-24,23,D01,type3,0,1,3,9,268,6,0.7857142857142857,0.892582375303981,1.0,1.0,0.0,3.0,11.0,-1.0,-0.9999990000010001,0.0,-0.07142857142857142,1,0.5,2.0,0.0,0.0,1,0,6.0,8.0
2024-09-25,24,D01,type3,0,2,3,9,269,2,0.7857142857142857,0.892582375303981,1.0,1.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,2,0.5714285714285714,2.0,0.0,0.0,1,0,6.0,8.0
2024-09-26,25,D01,type3,1,3,3,9,270,0,0.7857142857142857,0.892582375303981,1.0,1.0,0.0,3.0,11.0,0.0,0.0,1.0,0.0,3,0.6428571428571429,2.0,0.0,0.0,0,1,6.0,8.0
2024-09-27,26,D01,type3,1,4,3,9,271,0,0.7857142857142857,0.892582375303981,1.0,1.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0,0.7142857142857143,3.0,0.0,0.0,0,1,6.0,8.0
2024-09-28,27,D01,type3,0,5,3,9,272,1,0.7857142857142857,0.892582375303981,1.0,1.0,0.0,3.0,11.0,0.0,0.0,-1.0,0.0,0,0.7142857142857143,3.0,0.0,0.0,1,0,6.0,8.0
2024-09-29,28,D01,type3,0,6,3,9,273,1,0.6428571428571429,0.8418973861410954,0.5,0.0,0.0,3.0,9.0,-2.0,-0.99999950000025,0.0,-0.14285714285714285,1,0.7142857142857143,3.0,0.0,0.0,1,0,7.0,7.0
2024-09-30,29,D01,type3,2,0,3,9,274,0,0.5714285714285714,0.8516306272526403,0.0,0.0,0.0,3.0,8.0,-1.0,-0.9999990000010001,2.0,-0.07142857142857142,2,0.7857142857142857,3.0,0.0,0.5,0,1,8.0,6.0
2024-10-01,30,D01,type3,0,1,4,10,275,3,0.7142857142857143,0.9138735334633755,0.5,0.0,0.0,3.0,10.0,2.0,2000000.0,-2.0,0.14285714285714285,0,0.9285714285714286,3.0,0.0,1.0,1,0,7.0,7.0
2024-10-02,31,D01,type3,1,2,4,10,276,0,0.7142857142857143,0.9138735334633755,0.5,0.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,1,0.8571428571428571,3.0,0.0,0.5,0,1,7.0,7.0
2024-10-03,32,D01,type3,0,3,4,10,277,1,0.5714285714285714,0.6462061726588642,0.5,0.0,0.0,2.0,8.0,-2.0,-0.6666664444445185,-1.0,-0.14285714285714285,0,0.7857142857142857,3.0,0.0,0.5,1,0,7.0,7.0
