date,time,dealer_id,part_type,failure,dayofweek,quarter,month,dayofyear,zero_failure,mean,std,median,median_round,min,max,sum,diff,diff_ratio,diff_1d,diff_mean,zero_cumulative,mean_zero_cumulative,max_zero_cumulative,min_zero_cumulative,med_zero_cumulative,zero,no_zero,demand_days,no_demand_days
2024-09-02,1,D00,type3,3,0,3,9,246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
2024-09-03,2,D00,type3,3,1,3,9,247,0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,1.0
2024-09-04,3,D00,type3,0,2,3,9,248,2,3.0,0.0,3.0,3.0,3.0,3.0,6.0,,,-3.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,2.0
2024-09-05,4,D00,type3,5,3,3,9,249,0,2.0,1.7320508075688772,3.0,3.0,0.0,3.0,6.0,,,5.0,-1.0,1,0.0,0.0,0.0,0.0,0,1,1.0,2.0
2024-09-06,5,D00,type3,2,4,3,9,250,0,2.75,2.0615528128088303,3.0,3.0,0.0,5.0,11.0,,,-3.0,0.5,0,0.25,1.0,0.0,0.0,0,1,1.0,3.0
2024-09-07,6,D00,type3,3,5,3,9,251,0,2.6,1.816590212458495,3.0,3.0,0.0,5.0,13.0,,,1.0,-0.2,0,0.2,1.0,0.0,0.0,0,1,1.0,4.0
2024-09-08,7,D00,type3,0,6,3,9,252,2,2.6666666666666665,1.632993161855452,3.0,3.0,0.0,5.0,16.0,,,-3.0,0.0,0,0.16666666666666666,1.0,0.0,0.0,1,0,1.0,5.0
2024-09-09,8,D00,type3,2,0,3,9,253,0,2.2857142857142856,1.799470821684875,3.0,3.0,0.0,5.0,16.0,,,2.0,-0.42857142857142855,1,0.14285714285714285,1.0,0.0,0.0,0,1,2.0,5.0
2024-09-10,9,D00,type3,1,1,3,9,254,0,2.25,1.6690459207925605,2.5,2.0,0.0,5.0,18.0,,,-1.0,-0.125,0,0.25,1.0,0.0,0.0,0,1,2.0,6.0
2024-09-11,10,D00,type3,4,2,3,9,255,0,2.111111111111111,1.6158932858054431,2.0,2.0,0.0,5.0,19.0,,,3.0,-0.2222222222222222,0,0.2222222222222222,1.0,0.0,0.0,0,1,2.0,7.0
2024-09-12,11,D00,type3,1,3,3,9,256,0,2.3,1.636391694484477,2.5,2.0,0.0,5.0,23.0,,,-3.0,0.1,0,0.2,1.0,0.0,0.0,0,1,2.0,8.0
2024-09-13,12,D00,type3,3,4,3,9,257,0,2.1818181818181817,1.6011359603844904,2.0,2.0,0.0,5.0,24.0,,,2.0,-0.18181818181818182,0,0.18181818181818182,1.0,0.0,0.0,0,1,2.0,9.0
2024-09-14,13,D00,type3,0,5,3,9,258,2,2.25,1.5447859516333118,2.5,2.0,0.0,5.0,27.0,,,-3.0,0.0,0,0.16666666666666666,1.0,0.0,0.0,1,0,2.0,10.0
2024-09-15,14,D00,type3,4,6,3,9,259,0,2.076923076923077,1.6052797503622467,2.0,2.0,0.0,5.0,27.0,,,4.0,-0.23076923076923078,1,0.15384615384615385,1.0,0.0,0.0,0,1,3.0,10.0
2024-09-16,15,D00,type3,3,0,3,9,260,0,2.2142857142857144,1.6256866681058633,2.5,2.0,0.0,5.0,31.0,,,-1.0,0.07142857142857142,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-17,16,D00,type3,3,1,3,9,261,0,2.2142857142857144,1.6256866681058633,2.5,2.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-18,17,D00,type3,4,2,3,9,262,0,2.2142857142857144,1.6256866681058633,2.5,2.0,0.0,5.0,31.0,0.0,0.0,1.0,0.0,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-19,18,D00,type3,0,3,3,9,263,1,2.5,1.5566235649883124,3.0,3.0,0.0,5.0,35.0,4.0,4000000.0,-4.0,0.2857142857142857,0,0.21428571428571427,1.0,0.0,0.0,1,0,2.0,12.0
2024-09-20,19,D00,type3,2,4,3,9,264,0,2.142857142857143,1.5118578920369092,2.5,2.0,0.0,4.0,30.0,-5.0,-0.99999980000004,2.0,-0.35714285714285715,1,0.14285714285714285,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-21,20,D00,type3,2,5,3,9,265,0,2.142857142857143,1.5118578920369092,2.5,2.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-22,21,D00,type3,1,6,3,9,266,0,2.0714285714285716,1.491735474296541,2.0,2.0,0.0,4.0,29.0,-1.0,-0.33333322222225925,-1.0,-0.07142857142857142,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-23,22,D00,type3,1,0,3,9,267,0,2.142857142857143,1.4064216928154867,2.0,2.0,0.0,4.0,30.0,1.0,1000000.0,0.0,0.07142857142857142,0,0.21428571428571427,1.0,0.0,0.0,0,1,2.0,12.0
2024-09-24,23,D00,type3,0,1,3,9,268,2,2.0714285714285716,1.4392458342578494,2.0,2.0,0.0,4.0,29.0,-1.0,-0.499999750000125,-1.0,-0.07142857142857142,0,0.14285714285714285,1.0,0.0,0.0,1,0,2.0,12.0
2024-09-25,24,D00,type3,2,2,3,9,269,0,2.0,1.5191090506255003,2.0,2.0,0.0,4.0,28.0,-1.0,-0.9999990000010001,2.0,-0.07142857142857142,1,0.14285714285714285,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-26,25,D00,type3,2,3,3,9,270,0,1.8571428571428572,1.4064216928154867,2.0,2.0,0.0,4.0,26.0,-2.0,-0.49999987500003124,0.0,-0.14285714285714285,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-27,26,D00,type3,1,4,3,9,271,0,1.9285714285714286,1.3847680013570571,2.0,2.0,0.0,4.0,27.0,1.0,0.9999990000010001,-1.0,0.07142857142857142,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-28,27,D00,type3,1,5,3,9,272,0,1.7857142857142858,1.368804724431639,2.0,2.0,0.0,4.0,25.0,-2.0,-0.6666664444445185,0.0,-0.14285714285714285,0,0.21428571428571427,1.0,0.0,0.0,0,1,3.0,11.0
2024-09-29,28,D00,type3,0,6,3,9,273,2,1.8571428571428572,1.2924123453177285,2.0,2.0,0.0,4.0,26.0,1.0,1000000.0,-1.0,0.07142857142857142,0,0.21428571428571427,1.0,0.0,0.0,1,0,2.0,12.0
2024-09-30,29,D00,type3,0,0,3,9,274,2,1.5714285714285714,1.222499691004254,1.5,2.0,0.0,4.0,22.0,-4.0,-0.9999997500000625,0.0,-0.2857142857142857,1,0.14285714285714285,1.0,0.0,0.0,1,0,3.0,11.0
2024-10-01,30,D00,type3,1,1,4,10,275,0,1.3571428571428572,1.2157392722216311,1.0,1.0,0.0,4.0,19.0,-3.0,-0.9999996666667778,1.0,-0.21428571428571427,2,0.21428571428571427,1.0,0.0,0.0,0,1,4.0,10.0
2024-10-02,31,D00,type3,0,2,4,10,276,1,1.2142857142857142,1.121713759495604,1.0,1.0,0.0,4.0,17.0,-2.0,-0.6666664444445185,-1.0,-0.14285714285714285,0,0.35714285714285715,2.0,0.0,0.0,1,0,4.0,10.0
2024-10-03,32,D00,type3,0,3,4,10,277,1,0.9285714285714286,0.8287419301647474,1.0,1.0,0.0,2.0,13.0,-4.0,-0.9999997500000625,0.0,-0.2857142857142857,1,0.35714285714285715,2.0,0.0,0.0,1,0,5.0,9.0
2024-10-04,33,D00,type3,3,4,4,10,278,0,0.9285714285714286,0.8287419301647474,1.0,1.0,0.0,2.0,13.0,0.0,0.0,3.0,0.0,2,0.42857142857142855,2.0,0.0,0.0,0,1,5.0,9.0
2024-10-05,34,D00,type3,1,5,4,10,279,0,1.0,0.960768922830525,1.0,1.0,0.0,3.0,14.0,1.0,0.499999750000125,-2.0,0.07142857142857142,0,0.5,2.0,0.0,0.0,0,1,5.0,9.0
2024-10-06,35,D00,type3,1,6,4,10,280,0,0.9285714285714286,0.9168747682531921,1.0,1.0,0.0,3.0,13.0,-1.0,-0.499999750000125,0.0,-0.07142857142857142,0,0.5,2.0,0.0,0.0,0,1,5.0,9.0
2024-10-07,36,D00,type3,2,0,4,10,281,0,0.9285714285714286,0.9168747682531921,1.0,1.0,0.0,3.0,13.0,0.0,0.0,1.0,0.0,0,0.5,2.0,0.0,0.0,0,1,5.0,9.0
