date,time,dealer_id,part_type,failure,dayofweek,quarter,month,dayofyear,zero_failure,mean,std,median,median_round,min,max,sum,diff,diff_ratio,diff_1d,diff_mean,zero_cumulative,mean_zero_cumulative,max_zero_cumulative,min_zero_cumulative,med_zero_cumulative,zero,no_zero,demand_days,no_demand_days
2024-09-02,1,D01,type1,2,0,3,9,246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
2024-09-03,2,D01,type1,3,1,3,9,247,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,1.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,1.0
2024-09-04,3,D01,type1,1,2,3,9,248,0,2.5,0.7071067811865476,2.5,2.0,2.0,3.0,5.0,,,-2.0,0.5,0,0.0,0.0,0.0,0.0,0,1,0.0,2.0
2024-09-05,4,D01,type1,0,3,3,9,249,1,2.0,1.0,2.0,2.0,1.0,3.0,6.0,,,-1.0,-0.3333333333333333,0,0.0,0.0,0.0,0.0,1,0,0.0,3.0
2024-09-06,5,D01,type1,0,4,3,9,250,1,1.5,1.2909944487358056,1.5,2.0,0.0,3.0,6.0,,,0.0,-0.5,1,0.0,0.0,0.0,0.0,1,0,1.0,3.0
2024-09-07,6,D01,type1,0,5,3,9,251,1,1.2,1.3038404810405297,1.0,1.0,0.0,3.0,6.0,,,0.0,-0.4,2,0.2,1.0,0.0,0.0,1,0,2.0,3.0
2024-09-08,7,D01,type1,0,6,3,9,252,4,1.0,1.2649110640673518,0.5,0.0,0.0,3.0,6.0,,,0.0,-0.3333333333333333,3,0.5,2.0,0.0,0.0,1,0,3.0,3.0
2024-09-09,8,D01,type1,0,0,3,9,253,1,0.8571428571428571,1.2149857925879117,0.0,0.0,0.0,3.0,6.0,,,0.0,-0.2857142857142857,4,0.8571428571428571,3.0,0.0,0.0,1,0,4.0,3.0
2024-09-10,9,D01,type1,3,1,3,9,254,0,0.75,1.164964745021435,0.0,0.0,0.0,3.0,6.0,,,3.0,-0.25,5,1.25,4.0,0.0,0.5,0,1,5.0,3.0
2024-09-11,10,D01,type1,3,2,3,9,255,0,1.0,1.3228756555322954,0.0,0.0,0.0,3.0,9.0,,,0.0,0.1111111111111111,0,1.6666666666666667,5.0,0.0,1.0,0,1,5.0,4.0
2024-09-12,11,D01,type1,2,3,3,9,256,0,1.2,1.3984117975602022,0.5,0.0,0.0,3.0,12.0,,,-1.0,0.1,0,1.5,5.0,0.0,0.5,0,1,5.0,5.0
2024-09-13,12,D01,type1,0,4,3,9,257,1,1.2727272727272727,1.3483997249264843,1.0,1.0,0.0,3.0,14.0,,,-2.0,0.0,0,1.3636363636363635,5.0,0.0,0.0,1,0,5.0,6.0
2024-09-14,13,D01,type1,2,5,3,9,258,0,1.1666666666666667,1.337115846843043,0.5,0.0,0.0,3.0,14.0,,,2.0,-0.16666666666666666,1,1.25,5.0,0.0,0.0,0,1,6.0,6.0
2024-09-15,14,D01,type1,0,6,3,9,259,2,1.2307692307692308,1.3008872711759818,1.0,1.0,0.0,3.0,16.0,,,-2.0,0.0,0,1.2307692307692308,5.0,0.0,0.0,1,0,6.0,7.0
2024-09-16,15,D01,type1,1,0,3,9,260,0,1.1428571428571428,1.292412345317728,0.5,0.0,0.0,3.0,16.0,,,1.0,-0.14285714285714285,1,1.1428571428571428,5.0,0.0,0.0,0,1,7.0,7.0
2024-09-17,16,D01,type1,0,1,3,9,261,1,1.0714285714285714,1.2688144505364485,0.5,0.0,0.0,3.0,15.0,-1.0,-0.499999750000125,-1.0,-0.07142857142857142,0,1.2142857142857142,5.0,0.0,0.5,1,0,7.0,7.0
2024-09-18,17,D01,type1,1,2,3,9,262,0,0.8571428571428571,1.1673205911990772,0.0,0.0,0.0,3.0,12.0,-3.0,-0.9999996666667778,1.0,-0.21428571428571427,1,1.2142857142857142,5.0,0.0,0.5,0,1,8.0,6.0
2024-09-19,18,D01,type1,0,3,3,9,263,3,0.8571428571428571,1.1673205911990772,0.0,0.0,0.0,3.0,12.0,0.0,0.0,-1.0,0.0,0,1.2857142857142858,5.0,0.0,1.0,1,0,8.0,6.0
2024-09-20,19,D01,type1,0,4,3,9,264,1,0.8571428571428571,1.1673205911990772,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,1,1.2857142857142858,5.0,0.0,1.0,1,0,8.0,6.0
2024-09-21,20,D01,type1,2,5,3,9,265,0,0.8571428571428571,1.1673205911990772,0.0,0.0,0.0,3.0,12.0,0.0,0.0,2.0,0.0,2,1.2857142857142858,5.0,0.0,1.0,0,1,8.0,6.0
2024-09-22,21,D01,type1,0,6,3,9,266,1,1.0,1.1766968108291043,0.5,0.0,0.0,3.0,14.0,2.0,2000000.0,-2.0,0.14285714285714285,0,1.2857142857142858,5.0,0.0,1.0,1,0,7.0,7.0
2024-09-23,22,D01,type1,3,0,3,9,267,0,1.0,1.1766968108291043,0.5,0.0,0.0,3.0,14.0,0.0,0.0,3.0,0.0,1,1.0714285714285714,5.0,0.0,0.5,0,1,7.0,7.0
